run_id,backbone,method,transfer,target,shots,fold,GAL,SPDP
rbq1pwel,spectroresnet,original,mimic_ecg,vital_ecg,10,1,32.73509216308594,42.943233489990234
rbq1pwel,spectroresnet,original,mimic_ecg,vital_ecg,10,2,34.742889404296875,36.318267822265625
rbq1pwel,spectroresnet,original,mimic_ecg,vital_ecg,10,3,40.7155876159668,42.27137756347656
rbq1pwel,spectroresnet,original,mimic_ecg,vital_ecg,10,4,36.028709411621094,37.24688720703125
tfl99q02,bptransformer,original,bcg,sensors,10,0,30.26366424560547,28.649555206298828
tfl99q02,bptransformer,original,bcg,sensors,10,1,29.86058235168457,28.019166946411133
tfl99q02,bptransformer,original,bcg,sensors,10,2,30.74340057373047,30.887245178222656
tfl99q02,bptransformer,original,bcg,sensors,10,3,30.690452575683594,31.299510955810547
tfl99q02,bptransformer,original,bcg,sensors,10,4,30.03326416015625,26.178970336914062
w7v9qgss,spectroresnet,original,sensors,ppgbp,10,0,35.88533020019531,26.452363967895508
w7v9qgss,spectroresnet,original,sensors,ppgbp,10,1,26.35162353515625,24.10608291625977
w7v9qgss,spectroresnet,original,sensors,ppgbp,10,2,34.75588607788086,25.552526473999023
w7v9qgss,spectroresnet,original,sensors,ppgbp,10,3,29.227439880371097,26.296119689941406
w7v9qgss,spectroresnet,original,sensors,ppgbp,10,4,32.815223693847656,23.86633682250977
yzqu31yn,resnet1d,original,vital_ecg,mimic_ecg,10,0,43.44049835205078,44.42222595214844
yzqu31yn,resnet1d,original,vital_ecg,mimic_ecg,10,1,38.63893508911133,45.383056640625
yzqu31yn,resnet1d,original,vital_ecg,mimic_ecg,10,2,39.98406219482422,39.70995330810547
yzqu31yn,resnet1d,original,vital_ecg,mimic_ecg,10,3,43.59201431274414,53.57749938964844
yzqu31yn,resnet1d,original,vital_ecg,mimic_ecg,10,4,41.540794372558594,53.19349670410156
zc6pcpm3,bptransformer,original,vital_ecg,mimic_ecg,10,0,42.44462585449219,43.56018829345703
zc6pcpm3,bptransformer,original,vital_ecg,mimic_ecg,10,1,37.52452087402344,40.2140007019043
zc6pcpm3,bptransformer,original,vital_ecg,mimic_ecg,10,2,39.87051773071289,36.03253936767578
zc6pcpm3,bptransformer,original,vital_ecg,mimic_ecg,10,3,42.658931732177734,52.24633026123047
zc6pcpm3,bptransformer,original,vital_ecg,mimic_ecg,10,4,42.788291931152344,44.25579071044922
bhw1evt3,mlpbp,original,mimic_ecg,vital_ecg,10,0,40.7314338684082,39.36557388305664
bhw1evt3,mlpbp,original,mimic_ecg,vital_ecg,10,1,29.69242477416992,36.1031608581543
bhw1evt3,mlpbp,original,mimic_ecg,vital_ecg,10,2,34.7923469543457,37.324989318847656
bhw1evt3,mlpbp,original,mimic_ecg,vital_ecg,10,3,43.940093994140625,37.94761657714844
bhw1evt3,mlpbp,original,mimic_ecg,vital_ecg,10,4,41.15607833862305,43.921024322509766
3v44peoz,spectroresnet,original,bcg,sensors,5,0,30.329790115356445,29.98344039916992
3v44peoz,spectroresnet,original,bcg,sensors,5,1,29.347415924072266,27.26490592956543
3v44peoz,spectroresnet,original,bcg,sensors,5,2,30.566944122314453,32.26493453979492
3v44peoz,spectroresnet,original,bcg,sensors,5,3,31.322017669677734,29.868324279785156
3v44peoz,spectroresnet,original,bcg,sensors,5,4,29.393280029296875,27.30391311645508
